s	label	def	source	parent
rksd:Iron_Rich_Sedimentary_Rock	iron rich sedimentary rock	Sedimentary rock that consists of at least 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), as determined by hand-lens or petrographic analysis. Corresponds to a rock typically containing 15 percent iron by weight.	Hallsworth and Knox 1999; SLTTs 2004	rksd:Sedimentary_Rock
rksd:Non_Clastic_Siliceous_Sedimentary_Rock	non clastic siliceous sedimentary rock	Sedimentary rock that consists of at least 50 percent silicate mineral material, deposited directly by chemical or biological processes at the depositional surface, in particles formed by chemical or biological processes within the basin of deposition, or formed by diagenetic processes. Includes chert and flint found in carbonate rocks.	modified from SLTTs 2004	rksd:Sedimentary_Rock
rksd:Organic_Rich_Sedimentary_Rock	organic rich sedimentary rock	Sedimentary rock with color, composition, texture and apparent density indicating greater than 50 percent organic content by weight on a moisture-free basis.	SLTTs 2004	rksd:Sedimentary_Rock
rksd:Phosphorite	phosphorite	Sedimentary rock in which at least 50 percent of the primary or recrystallized constituents are phosphate minerals. Most commonly occurs as a bedded primary or reworked secondary marine rock, composed of microcrystalline carbonate fluorapatite in the form of lamina, pellets, oolites and nodules, and skeletal, shell and bone fragments.	HallsworthandKnox 1999, Jackson 1997	rksd:Sedimentary_Rock
sesrs:Alkali_Feldspar_Syenitic_Rock	alkali feldspar syenitic rock	Syenitoid with a plagioclase to total feldspar ratio of less than 0.1. QAPF fields 6, 6*, and 6'.	LeMaitre et al. 2002	rksd:Syenitoid
sesrs:Monzonitic_Rock	monzonitic rock	Syenitoid with a plagioclase to total feldspar ratio between 0.35 and 0.65. Includes rocks in QAPF fields 8, 8*, and 8'.	LeMaitre et al. 2002	rksd:Syenitoid
sesrs:Syenitic_Rock	syenitic rock	Syenitoid with a plagioclase to total feldspar ratio between 0.1 and 0.35. Includes rocks in QAPF fields 7, 7*, and 7'.	LeMaitre et al. 2002	rksd:Syenitoid
sesrs:ash_and_lapilli	ash and lapilli	Tephra in which less than 25 percent of fragments are greater than 64 mm in longest dimension	Schmid 1981; LeMaitre et al. 2002	rksd:Tephra
sesrs:ash_breccia_bomb_or_block_tephra	ash breccia bomb or block tephra	Tephra in which more than 25 percent of particles are greater than 64 mm in largest dimension. Includes ash breccia, bomb tephra and block tephra of Gillespie and Styles (1999)	Schmid 1981; LeMaitre et al. 2002	rksd:Tephra
sesrs:Basanite	basanite	Tephritoid that has a plagioclase to total feldspar ratio greater than 0.9, and contains more than 10 percent normative (CIPW) olivine.	LeMaitre et al. 2002	rksd:Tephritoid
sesrs:Phonolitic_Basanite	phonolitic basanite	Tephritoid that has a plagioclase to total feldspar ratio between 0.5 and 0.9, and contains more than 10 percent normative (CIPW) olivine.	LeMaitre et al. 2002	rksd:Tephritoid
sesrs:Phonolitic_Tephrite	phonolitic tephrite	Tephritoid that has a plagioclase to total feldspar ratio between 0.5 and 0.9, and contains less than 10 percent normative (CIPW) olivine.	LeMaitre et al. 2002	rksd:Tephritoid
sesrs:Tephrite	tephrite	Tephritoid that has a plagioclase to total feldspar ratio greater than 0.9, and contains less than 10 percent normative (CIPW) olivine.	LeMaitre et al. 2002	rksd:Tephritoid
sesrs:Alkali_Feldspar_Trachytic_Rock	alkali feldspar trachytic rock	Trachytoid that has a plagioclase to total feldspar ratio less than 0.1. QAPF fields 6, 6', and 6*.	LeMaitre et al. 2002	rksd:Trachytoid
sesrs:Latitic_Rock	latitic rock	Trachytoid that has a plagioclase to total feldspar ratio between 0.35 and 0.65. QAPF fields 8, 8' and 8*.	LeMaitre et al. 2002	rksd:Trachytoid
sesrs:Trachytic_Rock	trachytic rock	Trachytoid that has a plagioclase to total feldspar ratio between 0.1 and 0.35. QAPF fields 7, 7', and 7*.	LeMaitre et al. 2002	rksd:Trachytoid
rksd:Hornblendite	hornblendite	Ultramafic rock that consists of greater than 40 percent hornblende plus pyroxene and has a hornblende to pyroxene ratio greater than 1. Includes olivine hornblendite, olivine-pyroxene hornblendite, pyroxene hornblendite, and hornblendite.	LeMaitre et al. 2002	rksd:Ultramafic_Igneous_Rock
sesrs:Komatiitic_Rock	komatiitic rock	Ultramafic, magnesium-rich volcanic rock, typically with spinifex texture of intergrown skeletal and bladed olivine and pyroxene crystals set in abundant glass. Includes komatiite and meimechite.	LeMaitre et al. 2002	rksd:Ultramafic_Igneous_Rock
rksd:Peridotite	peridotite	Ultramafic rock consisting of more than 40 percent (by volume) olivine with pyroxene and/or amphibole and little or no feldspar. commonly altered to serpentinite. Includes rocks defined modally in the ultramafic rock classification as dunite, harzburgite, lherzolite, wehrlite, olivinite, pyroxene peridotite, pyroxene hornblende peridotite or hornblende peridotite.	LeMaitre et al. 2002	rksd:Ultramafic_Igneous_Rock
rksd:Pyroxenite	pyroxenite	Ultramafic phaneritic igneous rock composed almost entirely of one or more pyroxenes and occasionally biotite, hornblende and olivine. Includes rocks defined modally in the ultramafic rock classification as olivine pyroxenite, olivine-hornblende pyroxenite, pyroxenite, orthopyroxenite, clinopyroxenite and websterite.	LeMaitre et al. 2002	rksd:Ultramafic_Igneous_Rock
sesrs:Lava	Lava	Volcanic Rock with features indicating origin by extrusive lava flow.		rksd:Volcanic_Rock
rksd:Pyroclastic_Rock	pyroclastic rock	Fragmental igneous rock that consists of greater than 75 percent fragments produced as a direct result of eruption or extrusion of magma from within the earth onto its surface. Includes autobreccia associated with lava flows and excludes deposits reworked by epiclastic processes.	based on LeMaitre et al. 2002	rksd:Volcanic_Rock
rksd:diamicton	diamicton	Unsorted or poorly sorted, clastic sediment with a wide range of particle sizes, including a muddy matrix. Biogenic materials that have such texture are excluded. Distinguished from conglomerate, sandstone, mudstone based on polymodality and lack of structures related to transport and deposition of sediment by moving air or water. Assignment to an other size class can be used in conjunction to indicate the dominant grain size.	Fairbridge and Bourgeois 1978	rksd:clastic_sediment
sesrs:gravel	gravel	Clastic sediment containing greater than 30 percent gravel-size particles (greater than 2.0 mm diameter). Gravel in which more than half of the particles are of epiclastic origin	definition of gravel from SLTTs 2004; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:clastic_sediment
sesrs:mud	mud	Clastic sediment consisting of less than 30 percent gravel-size (2 mm) particles and with a mud-size to sand-size particle ratio greater than 1. More than half of the particles are of epiclastic origin.	definition of mud from SLTTs 2004 muddy sediment; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:clastic_sediment
sesrs:sand	sand	Clastic sediment in which less than 30 percent of particles are gravel (greater than 2 mm in diameter) and the sand to mud ratio is at least 1. More than half of the particles are of epiclastic origin.	definition of sand from SLTTs 2004 sandy sediment; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	rksd:clastic_sediment
sesrs:bauxite	Bauxite	Highly aluminous material containing abundant aluminium hydroxides (gibbsite, less commonly boehmite, diaspore) and aluminium-substituted iron oxides or hydroxides and generally minor or negligible kaolin minerals; may contain up to 20 percent quartz. commonly has a pisolitic or nodular texture, and may be cemented.	Eggleton 2001	rksd:residual_material
mat:anthropogenicmetal	Anthropogenic metal material 	Metal that has been produced or used by humans. Samples of naturally occurring metallic material (e.g. native copper, gold nuggets) should be considered mineral material. Metallic material is material that when polished or fractured, shows a lustrous appearance, and conducts electricity and heat relatively well. Metals are typically malleable (they can be hammered into thin sheets) or ductile (can be drawn into wires). The boundaries between metals, nonmetals, and metalloids fluctuate slightly due to a lack of universally accepted definitions of the categories involved. (https://en.wikipedia.org/wiki/Metal, c.f. http://purl.obolibrary.org/obo/ENVO_01001069)		mat:anyanthropogenicmaterial
sesrs:anthropogenic_nonconsolidated_material	Anthropogenic nonconsolidated material	Non-consolidated material known to have artificial (human-related) origin.	This vocabulary	mat:anyanthropogenicmaterial
sesrs:concrete	Concrete	Material composed of coarse- to medium-grained particulate material bonded together with a fluid cement that cures to a solid over time.	https://en.wikipedia.org/wiki/Concrete	mat:anyanthropogenicmaterial
sesrs:manufactured_chemical_substance	Manufactured chemical substance	material is an artifically produced sustance consisting of a single chemical entity		mat:anyanthropogenicmaterial
sesrs:mineral_processing_product	Mineral processing product	Includes tailings, slag, matte, concentrate etc, materials resulting from mineral processing for resource extraction		mat:anyanthropogenicmaterial
mat:otheranthropogenicmaterial	Other anthropogenic material	Non-metallic material produced by human activity. Organic products of agricultural activity are both anthropogenic and organic. Include lab preparations like XRF pellet and rock powders. Examples: ceramics, (anthropogenic) glass, waste.		mat:anyanthropogenicmaterial
mat:waterice	Frozen water	Water that is in a solid state.		mat:anyice
mat:mineral	Mineral 	Material consists of a single mineral or mineraloid phase.  'A mineral is an element or chemical compound that is normally crystalline and that has been formed as a result of geological processes.' (Nickel, Ernest H. (1995), The definition of a mineral, The Canadian Mineralogist. 33 (3): 689–90). Include mineraloids. ... A material primarily composed of some substance that is naturally occurring, solid and stable at room temperature, representable by a chemical formula, usually abiogenic, and that has an ordered atomic structure. (http://purl.obolibrary.org/obo/ENVO_01000256). The identity of a mineral species is defined by a crystal structure and a chemical composition that might include various specific elemental substitutions in that structure. Mineraloid: A naturally occurring mineral-like substance that does not demonstrate crystallinity. Mineraloids possess chemical compositions that vary beyond the generally accepted ranges for specific minerals. Examples: obsidian, Opal. (https://en.wikipedia.org/wiki/Mineraloid)		mat:earthmaterial
mat:mixedsoilsedimentrock	Mixed soil sediment or rock	Material is mixed aggregation of fragments of undifferentiated soil, sediment or rock origin. e.g. cuttings from some boreholes (rock fragments and caved soil or sediment).		mat:earthmaterial
mat:particulate	Particulate	Material consists of microscopic particulate material derived by precipitation, filtering, or settling from suspension in a fluid, e.g. filtrate from water, deposition from atmosphere, astro material particles. Might include mineral, organic, or biological material. ENVO definition (ENVO_01000060) has "composed of microscopic portions of solid or liquid material suspended in another environmental material." Refine here to define as the solid particles, distinct from a material in which they are suspended. A material that includes solid or liquid particles suspended in another material would be a dispersed_media in this scheme, not defined in ENVO. Human manufactured particulates (e.g. rock powder) should be categorized as 'Anthropogenic material' as well as 'Particulate'		mat:earthmaterial
mat:rockorsediment	Rock or sediment	Material is rock, sediment, or other non-consolidated igneous or composite gensis material.		mat:earthmaterial
mat:soil	Soil	Mixed granular mineral and organic matter modified by interaction between earth material, biosphere, and atmosphere, consisting of varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms. (https://en.wikipedia.org/wiki/Soil) Soil consists of horizons near the Earth's surface that, in contrast to the underlying parent material, have been altered by the interactions of climate, relief, and living organisms over time. (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/edu/?cid=nrcs142p2_054280) (http://purl.obolibrary.org/obo/ENVO_00001998)		mat:earthmaterial
mat:gas	Gaseous material	Material composed of one or more chemical entities that has neither independent shape nor volume but tends to expand indefinitely (http://purl.obolibrary.org/obo/ENVO_01000797). Infer that the sample is curated in some kind of container.		mat:fluid
mat:liquidwater	Liquid water	A material primarily composed of dihydrogen oxide in its liquid form; infer that the sample is curated in some kind of container.		mat:fluid
mat:nonaqueousliquid	Non-aqueous liquid material 	Liquid composed dominantly of material other than water. Includes liquids that do not fit in any other category. E.g. alcohol, petroleum.		mat:fluid
mat:anyanthropogenicmaterial	Anthropogenic material	Material produced by human activity.		mat:material
mat:anyice	Any ice	a material that is in a solid state under the temperature and pressure conditions of the preserved sample, but is a liquid or gas at Standard Temperature and Pressure (STP).		mat:material
sesrs:biogenic_material	Biogenic material	Material formed by a living organism, organic or inorganic composition		mat:material
mat:dispersedmedia	Dispersed media	Material that contains discrete elements of some material dispersed in a continuous fluid medium.  The dispersed component can be a gas, a liquid or a solid (based on https://en.wikipedia.org/wiki/Dispersed_media). Does not include mixtures of granular material like soil, sediment, particulate, or solids that would be considered  rock material.		mat:material
mat:fluid	Fluid material	Substance that continually deforms (flows) under an applied shear stress, or external force. Fluids are a phase of matter and include liquids, gases and plasmas. They are substances with zero or small shear modulus, and flow at a perceptible rate under any shear force applied to them. (https://en.wikipedia.org/wiki/Fluid)		mat:material
mat:earthmaterial	Natural Solid Material	A naturally occurring solid material that is not anthropogenic, biogenic, or ice.		mat:material
sesrs:nonconsolidated_material	Nonconsolidated material	compoundMaterial composed of an aggregation of particles that do not adhere to each other strongly enough that the aggregate can be considered a solid in its own right.	This vocabulary	mat:material
sesrs:animal_tissue	Animal tissue	Organic material that is tissue from the body of an animal.		mat:organicmaterial
sesrs:other_biogenic_organic_material	Other biogenic organic material	Biogenic organic material that is not animal tissue or from a plant.		mat:organicmaterial
sesrs:plant_material	Plant material	Organic material produced by a plant		mat:organicmaterial
rksd:Tuffite	tuffit	Rock consists of more than 50 percent particles of indeterminate pyroclastic or epiclastic origin and less than 75 percent particles of clearly pyroclastic origin. commonly the rock is laminated or exhibits size grading. (based on LeMaitre et al. 2002; Murawski and Meyer 1998).	LeMaitre et al. 2002; Murawski and Meyer 1998	mat:rock
rksd:Aphanite	Aphanite	Rock that is too fine grained to categorize in more detail.	This vocabulary	mat:rock
sesrs:composite_genesis_rock	Composite genesis rock	Rock formed by geological modification of pre-existing rocks outside the realm of igneous and sedimentary processes. Includes rocks formed by impact metamorphism, standard dynamothermal metamorphism, brittle deformation, weathering, metasomatism and hydrothermal alteration (diagenesis is a sedimentary process in this context).	SLTTm 2004	mat:rock
rksd:Fault_Related_Material	Fault related material	Material formed as a result brittle faulting, composed of greater than 10 percent matrix; matrix is fine-grained material caused by tectonic grainsize reduction. Includes cohesive (cataclasite series, mylonitic rocks) and non-cohesive (breccia-gouge series) material.	This vocabulary; SLTTm 2004	mat:rock
rksd:Igneous_Rock	Igneous rock	rock formed as a result of igneous processes, for example intrusion and cooling of magma in the crust, or volcanic eruption.	Neuendorf et al 2005	mat:rock
rksd:Impact_Generated_Material	Impact generated material	Material that contains features indicative of shock metamorphism, such as microscopic planar deformation features within grains or shatter cones, interpreted to be the result of extraterrestrial bolide impact. Includes breccias and melt rocks.	Stöffler and Grieve 2007; Jackson 1997	mat:rock
rksd:Massive_Sulphide	Massive sulphide	rock consisting of greater than 50% sulphide or sulfosalt minerals formed by any processes. Includes hydrothermal and sedimentary ehalative sulfide.	Provisional SMR 2020-06-07	mat:rock
rksd:Metamorphic_Rock	Metamorphic rock	Rock formed by solid-state mineralogical, chemical and/or structural changes to a pre-existing rock, in response to marked changes in temperature, pressure, shearing stress and chemical environment.	Jackson 1997	mat:rock
rksd:Sedimentary_Rock	Sedimentary rock	Rock formed by accumulation and cementation of solid fragmental material deposited by air, water or ice, or as a result of other natural agents, such as precipitation from solution, the accumulation of organic material, or from biogenic processes, including secretion by organisms. Includes epiclastic deposits.	SLTTs 2004	mat:rock
rksd:Tuffite	Tuffite	Rock consists of more than 50 percent particles of indeterminate pyroclastic or epiclastic origin and less than 75 percent particles of clearly pyroclastic origin. commonly the rock is laminated or exhibits size grading. (based on LeMaitre et al. 2002; Murawski and Meyer 1998).	LeMaitre et al. 2002; Murawski and Meyer 1998	mat:rock
rksd:Metasomatic_Rock	metasomatic rock	Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.	This vocabulary	mat:rock
rksd:residual_material	residual material	Material of composite origin resulting from weathering processes at the Earth's surface, with genesis dominated by removal of chemical constituents by aqueous leaching. Minor clastic, chemical, or organic input may also contribute. Consolidation state is not inherent in definition, but typically material is unconsolidated or weakly consolidated.	This vocabulary	mat:rock
rksd:Breccia	Breccia	Coarse-grained material composed of angular broken rock fragments; the fragments typically have sharp edges and unworn corners. The fragments may be held together by a mineral cement or in a fine-grained matrix, and consolidated or nonconsolidated. Clasts may be of any composition or origin. In sedimentary environments, breccia is used for material that consists entirely of angular fragments, mostly derived from a single source rock body, as in a rock avalanche deposit, and matrix is interpreted to be the product of comminution of clasts during transport. Diamictite or diamicton is used when the material reflects mixing of rock from a variety of sources, some sub angular or subrounded clasts may be present, and matrix is pre-existing fine grained material that is not a direct product of the brecciation/deposition process.	Neuendorf et al. 2005	mat:rockorsediment
sesrs:composite_genesis_material	Composite genesis material	Material of unspecified consolidation state formed by geological modification of pre-existing materials outside the realm of igneous and sedimentary processes. Includes rocks formed by impact metamorphism, standard dynamothermal metamorphism, brittle deformation, weathering, metasomatism and hydrothermal alteration (diagenesis is a sedimentary process in this context).	SLTTm 2004	mat:rockorsediment
sesrs:igneous_material	Igneous material	Earth material formed as a result of igneous processes, eg. intrusion and cooling of magma in the crust, volcanic eruption.	This vocabulary	mat:rockorsediment
sesrs:ore	Ore	A natural Earth material containing a potentially economic quantity of extractable metals or other commodities.		mat:rockorsediment
mat:rock	Rock	Consolidated aggregate of particles (grains) of rock, mineral (including native elements), mineraloid, or solid organic material. Includes mineral aggregates such as granite, shale, marble; natural glass such as obsidian; organic material formed by geologic processes such as coal;  extraterrestrial material in meteorites. (based on http://resource.geosciml.org/classifier/cgi/lithology/rock, same as http://purl.obolibrary.org/obo/ENVO_00001995)	Jackson, 1997; NADM C1 2004; Neuendorf et al 2005	mat:rockorsediment
sesrs:sedimentary_material	Sedimentary material	Material formed by accumulation of solid fragmental material deposited by air, water or ice, or material that accumulated by other natural agents such as chemical precipitation from solution or secretion by organisms. Includes both sediment and sedimentary rock. Includes epiclastic deposits. All stated composition criteria are based on the mineral/ compound material (GeoSciML term)/particulate fraction of the material, irrespective of porosity or the pore-fluid. No distinctions are made based on porosity or pore fluid composition (except organic rich sediment in which liquid hydrocarbon content may be considered).	SLTTs 2004	mat:rockorsediment
rksd:Hybrid_Sediment	Hybrid sediment	Sediment that does not fit any of the other sediment composition/genesis categories. Sediment consisting of three or more components which form more than 5 percent but less than 50 precent of the material.	Hallsworth and Knox, 1999	mat:sediment
rksd:Tephra	Tephra	Unconsolidated pyroclastic material in which greater than 75 percent of the fragments are deposited as a direct result of volcanic processes and the deposit has not been reworked by epiclastic processes. Includes ash, lapilli tephra, bomb tephra, block tephra and unconsolidated agglomerate.	Hallsworth and Knox 1999; LeMaitre et al. 2002	mat:sediment
rksd:Biogenic_Sediment	biogenic sediment	Sediment composed of greater than 50 percent material of biogenic origin. Because the biogenic material may be skeletal remains that are not organic, all biogenic sediment is not necessarily organic-rich.	SLTTs 2004	mat:sediment
rksd:Carbonate_Sediment	carbonate sediment	Sediment in which at least 50 percent of the primary and/or recrystallized constituents are composed of one (or more) of the carbonate minerals calcite, aragonite and dolomite, in particles of intrabasinal origin.	SLTTs 2004	mat:sediment
rksd:clastic_sediment	clastic sediment	Sediment in which at least 50 percent of the constituent particles were derived from erosion, weathering, or mass-wasting of pre-existing earth materials, and transported to the place of deposition by mechanical agents such as water, wind, ice and gravity.	SLTTs 2004; Neuendorf et al. 2005	mat:sediment
rksd:Gravel_Size_Sediment	gravel size sediment	Sediment containing greater than 30 percent gravel-size particles (greater than 2.0 mm diameter). Composition or gensis of clasts not specified.	SLTTs 2004; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	mat:sediment
rksd:Iron_Rich_Sediment	iron rich sediment	Sediment that consists of at least 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), as determined by hand-lens or petrographic analysis. Corresponds to a rock typically containing 15 percent iron by weight.	SLTTs 2004	mat:sediment
rksd:Mud_Size_Sediment	mud size sediment	Sediment consisting of less than 30 percent gravel-size (2 mm) particles and with a mud-size to sand-size particle ratio greater than 1. Clasts may be of any composition or origin.	based on SLTTs 2004; Neuendorf et al. 2005; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	mat:sediment
rksd:Mud_Size_Sediment	mud size sediment	Sediment consisting of less than 30 percent gravel-size (2 mm) particles and with a mud-size to sand-size particle ratio greater than 1. Clasts may be of any composition or origin.  BGS  (Hallsworth and Knox, 1999, p. 9) define the  'upper size limit of mud ... at 32 micrometers (.032 mm)', but Wentworth scale and Krumbein scale put boundary at .064 or .062 mm (inidistinguishable difference in rocks...) BGS 'mud-grade sediment' or sedimentary rock definition is 'over 75% of the clasts smaller than  .032 mm', which is narrower than the definition here.	based on SLTTs 2004; Neuendorf et al. 2005; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	mat:sediment
rksd:Non_Clastic_Siliceous_Sediment	non clastic siliceous sediment	Sediment that consists of at least 50 percent silicate mineral material, deposited directly by chemical or biological processes at the depositional surface, or in particles formed by chemical or biological processes within the basin of deposition.	NGMDB 2008; Hallsworth and Knox 1999	mat:sediment
rksd:Phosphate_Rich_Sediment	phosphate rich sediment	Sediment in which at least 50 percent of the primary and/or recrystallized constituents are phosphate minerals.	SLTTs 2004	mat:sediment
rksd:Sand_Size_Sediment	sand size sediment	Sediment in which less than 30 percent of particles are gravel (greater than 2 mm in diameter) and the sand to mud ratio is at least 1. composition or genesis of clasts not specified.	Neuendorf et al. 2005 ; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)	mat:sediment
rksd:Acidic_Igneous_Rock	acidic igneous rock	Igneous rock with more than 63 percent SiO2.	after LeMaitre et al. 2002	sesrs:Acidic_Igneous_Material
sesrs:Alkali_Feldspar_Syenite	alkali feldspar syenite	Alkali feldspar syenitic rock that contains 0-5 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 6.	LeMaitre et al. 2002	sesrs:Alkali_Feldspar_Syenitic_Rock
sesrs:Foid_Bearing_Alkali_Feldspar_Syenite	foid bearing alkali feldspar syenite	Alkali feldspar syenitic rock that contains 0-10 percent feldspathoid mineral and no quartz in the QAPF fraction. QAPF field 6'.	LeMaitre et al. 2002	sesrs:Alkali_Feldspar_Syenitic_Rock
sesrs:Quartz_Alkali_Feldspar_Syenite	quartz alkali feldspar syenite	Alkali feldspar syenitic rock that contains 5 to 20 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 6*.	LeMaitre et al. 2002	sesrs:Alkali_Feldspar_Syenitic_Rock
sesrs:Alkali_Feldspar_Trachyte	alkali feldspar trachyte	Trachytoid that has a plagioclase to total feldspar ratio less than 0.1, between 0 and 5 percent quartz in the QAPF fraction, and no feldspathoid minerals. QAPF field 6.	LeMaitre et al. 2002	sesrs:Alkali_Feldspar_Trachytic_Rock
sesrs:Foid_Bearing_Alkali_Feldspar_Trachyte	foid bearing alkali feldspar trachyte	Alkali feldspar trachytic rock that contains no quartz and between 0 and 10 percent feldspathoid mineral in the QAPF fraction. QAPF field 6'.	LeMaitre et al. 2002	sesrs:Alkali_Feldspar_Trachytic_Rock
sesrs:Quartz_Alkali_Feldspar_Trachyte	quartz alkali feldspar trachyte	Alkali feldspar trachytic rock that contains and between 5 and 20 percent quartz mineral in the QAPF fraction. QAPF field 6*.	LeMaitre et al. 2002	sesrs:Alkali_Feldspar_Trachytic_Rock
rksd:Basic_Igneous_Rock	basic igneous rock	Igneous rock with between 45 and 52 percent SiO2.	Neuendorf et al 2005; LeMaitre et al. 2002; Gillespie and Styles 1999	sesrs:Basic_Igneous_Material
rksd:Basic_Igneous_Rock	basic igneous rock	Igneous rock with between 45 and 52 percent SiO2.	after LeMaitre et al. 2002	sesrs:Basic_Igneous_Material
sesrs:Diorite	diorite	Phaneritic crystalline rock consisting of intermediate plagioclase, commonly with hornblende and often with biotite or augite; colour index M less than 90, sodic plagioclase (An0-An50), no feldspathoid, and between 0 and 5 percent quartz. Includes rocks defined modally in QAPF field 10 as diorite.	LeMaitre et al. 2002	sesrs:Dioritic_Rock
sesrs:Foid_Bearing_Diorite	foid bearing diorite	Dioritic rock that contains between 0 and 10 percent feldspathoid minerals in the QAPF fraction. QAPF field 10'.	LeMaitre et al. 2002	sesrs:Dioritic_Rock
sesrs:Quartz_Diorite	quartz diorite	Dioritic rock that contains between 5 to 20 percent quartz in the QAPF fraction. QAPF field 10*.	LeMaitre et al. 2002	sesrs:Dioritic_Rock
sesrs:Pyroclastic_Material	Pyroclastic material	Fragmental igneous material that consists of more than 75 percent of particles formed by disruption as a direct result of volcanic action.	LeMaitre et al. 2002	sesrs:Fragmental_Igneous_Material
rksd:Fragmental_Igneous_Rock	fragmental igneous rock	Igneous rock in which greater than 75 percent of the rock consists of fragments produced as a result of igneous rock-forming process. Includes pyroclastic rocks, autobreccia associated with lava flows and intrusive breccias. Excludes deposits reworked by epiclastic processes (see Tuffite)	This vocabulary	sesrs:Fragmental_Igneous_Material
rksd:Intermediate_Composition_Igneous_Rock	intermediate composition igneous rock	Igneous rock with between 52 and 63 percent SiO2.	after LeMaitre et al. 2002	sesrs:Intermediate_Composition_Igneous_Material
sesrs:Foid_Bearing_Latite	foid bearing latite	Latitic rock that contains no quartz and between 0 and 10 percent feldspathoid minerals in the QAPF fraction. QAPF field 8'.	LeMaitre et al. 2002	sesrs:Latitic_Rock
sesrs:Latite	latite	Latitic rock that contains between 0 and 5 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 8.	LeMaitre et al. 2002	sesrs:Latitic_Rock
sesrs:Quartz_Latite	quartz latite	Latitic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 8*.	LeMaitre et al. 2002	sesrs:Latitic_Rock
sesrs:Foid_Bearing_Monzodiorite	foid bearing monzodiorite	Monzodioritic rock that contains between 0 and 10 percent feldspathoid mineral.	LeMaitre et al. 2002	sesrs:Monzodioritic_Rock
sesrs:Monzodiorite	monzodiorite	Phaneritic crystalline igneous rock consisting of sodic plagioclase (An0 to An50), alkali feldspar, hornblende and biotite, with or without pyroxene, and 0 to 5 percent quartz. Includes rocks defined modally in QAPF field 9.	LeMaitre et al. 2002	sesrs:Monzodioritic_Rock
sesrs:Quartz_Monzodiorite	quartz monzodiorite	Monzodioritic rock that contains between 5 and 20 percent quartz.	LeMaitre et al. 2002	sesrs:Monzodioritic_Rock
sesrs:Foid_Bearing_Monzonite	foid bearing monzonite	Monzonitic rock that contains 0-10 percent feldspathoid mineral and no quartz in the QAPF fraction. Includes rocks defined modally in QAPF Field 8'.	LeMaitre et al. 2002	sesrs:Monzonitic_Rock
sesrs:Monzonite	monzonite	Monzonitic rock that contains 0-5 percent quartz and no feldspathoid mineral in the QAPF fraction. Includes rocks defined modally in QAPF Field 8.	LeMaitre et al. 2002	sesrs:Monzonitic_Rock
sesrs:Quartz_Monzonite	quartz monzonite	Monzonitic rock that contains 5-20 percent quartz iin the QAPF fraction. Includes rocks defined modally in QAPF Field 8*.	LeMaitre et al. 2002	sesrs:Monzonitic_Rock
rksd:Tephra	Tephra	Unconsolidated pyroclastic material in which greater than 75 percent of the fragments are deposited as a direct result of volcanic processes and the deposit has not been reworked by epiclastic processes. Includes ash, lapilli tephra, bomb tephra, block tephra and unconsolidated agglomerate.	Hallsworth and Knox 1999; LeMaitre et al. 2002	sesrs:Pyroclastic_Material
